,moveId,nickname,comment,rate,city,start_time
2383,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2384,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2385,1208282, 雪姐 ,很好看。挺感人的。,5,哈尔滨,2018-11-29 15:49:21
2386,1208282,瘦.,挺好看的，哭死咯,4,青岛,2018-11-29 15:49:14
2387,1208282,Wind50101840,11122222,5,青岛,2018-11-29 15:48:54
2388,1208282,饶舌让你热。,好看，喜欢看,5,乐山,2018-11-29 15:48:47
2389,1208282,eventao0515,都是实力派演员 很赞,4,昆山,2018-11-29 15:46:59
2390,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2391,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2392,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2393,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2394,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2395,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2396,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2397,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2398,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2399,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2400,1208282,瘦.,挺好看的，哭死咯,4,青岛,2018-11-29 15:49:14
2401,1208282,Wind50101840,11122222,5,青岛,2018-11-29 15:48:54
2402,1208282,饶舌让你热。,好看，喜欢看,5,乐山,2018-11-29 15:48:47
2403,1208282,eventao0515,都是实力派演员 很赞,4,昆山,2018-11-29 15:46:59
2404,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2405,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2406,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2407,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2408,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2409,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2410,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2411,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2412,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2413,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2414,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2415,1208282,Wind50101840,11122222,5,青岛,2018-11-29 15:48:54
2416,1208282,饶舌让你热。,好看，喜欢看,5,乐山,2018-11-29 15:48:47
2417,1208282,eventao0515,都是实力派演员 很赞,4,昆山,2018-11-29 15:46:59
2418,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2419,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2420,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2421,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
